symbol,avg_sentiment,news_count
HLEGLAS,0.0,3
DPABHUSHAN,0.3202,10
DIVISLAB,-0.0064,10
DRCSYSTEMS,0.1885,10
ALKYLAMINE,0.1404,10
HMAAGRO,0.2098,10
DUCON,0.1198,10
ECLERX,0.1764,10
HONAUT,0.3313,10
EASEMYTRIP,0.3856,10
HONDAPOWER,0.1866,10
HOVS,0.296,1
ALPA,0.2271,10
AARTIIND,0.1291,10
HPIL,0.0912,9
ABINFRA,0.1134,7
ELECON,0.0812,10
ANUHPHR,-0.2263,1
HSCL,0.256,10
GODREJIND,0.0411,10
APARINDS,0.0691,10
HPL,0.5659,10
ANMOL,0.0,10
HUDCO,0.298,10
GOLDENTOBC,-0.1132,2
HYUNDAI,0.2767,10
GOYALALUM,0.4113,2
APTUS,0.3997,10
ICIL,0.2556,10
GOODLUCK,0.1678,10
ENDURANCE,0.2201,10
ASHIMASYN,0.0725,3
AROGRANITE,0.0147,4
IDFCFIRSTB,0.078,10
IDEAFORGE,0.0289,10
ASMS,0.0858,10
ABFRL,0.1517,10
GREAVESCOT,0.4093,10
IEX,0.3104,10
ATAM,0.2991,10
ERIS,0.0888,10
GREENPOWER,0.1622,10
AVROIND,0.0,1
GRMOVER,0.0824,10
GRINFRA,0.1878,10
GROBTEA,0.3185,2
IIFL,0.1087,10
BAJAJELEC,0.078,10
AWFIS,0.1242,10
BALAJITELE,0.1806,2
BAJEL,0.3129,10
BALAXI,0.2008,10
BANARBEADS,0.0772,1
IL&FSENGG,-0.1738,10
BALKRISIND,0.0122,10
IL&FSTRANS,-0.1738,10
GSS,0.1815,10
BEARDSELL,0.2321,10
INDHOTEL,0.3557,10
BBL,0.0351,10
INDGN,0.3843,10
BALKRISHNA,0.1937,10
INDIANCARD,0.134,10
AGIIL,0.5119,4
INDIAMART,0.2208,10
BIRLACORPN,0.1903,10
FINEORG,0.3582,10
BLACKBUCK,0.1313,10
INDNIPPON,0.4234,4
BLUEJET,0.1231,10
BOROSCI,0.1702,3
FIRSTCRY,0.0394,10
HARDWYN,0.1694,10
HARRMALAYA,0.5631,2
HARSHA,0.1032,10
CAMLINFINE,0.329,10
CARBORUNIV,0.1528,9
INDOTHAI,0.1294,10
CAPACITE,0.1007,10
INDRAMEDCO,0.2496,10
