symbol,date,close,rsi,macd,sma20,avg_sentiment,news_count
RITES,2025-05-16,286.99,76.92,4.63,234.78,0.1566,10
RADICO,2025-05-16,2571.6,61.49,2.75,2498.41,0.2295,10
RVNL,2025-05-16,409.6,69.9,5.04,360.76,0.3547,10
RAILTEL,2025-05-16,383.55,73.68,7.29,319.95,0.4549,10
RAINBOW,2025-05-16,1367.8,47.29,-3.04,1389.78,0.1325,10
RKFORGE,2025-05-16,623.7,45.37,3.7,625.28,0.0624,10
RCF,2025-05-16,150.62,66.6,0.96,140.38,0.3704,10
RTNINDIA,2025-05-16,48.62,67.0,0.66,43.86,0.2294,10
RAYMONDLSL,2025-05-16,1008.8,50.43,7.41,996.16,0.0988,10
RAYMOND,2025-05-16,607.6,21.21,-116.43,1392.37,0.1723,10
REDINGTON,2025-05-16,280.16,73.52,3.58,251.43,0.1469,10
RELIANCE,2025-05-16,1456.4,70.13,3.35,1379.3,0.3745,10
RPOWER,2025-05-16,45.07,64.02,0.4,41.84,0.2417,10
ROUTE,2025-05-16,981.65,53.96,0.82,971.14,0.346,10
SBFC,2025-05-16,107.87,65.16,0.38,102.64,0.2135,10
SBICARD,2025-05-16,912.0,57.21,0.83,895.94,0.1569,10
SBILIFE,2025-05-16,1773.4,65.88,-1.54,1712.25,0.3973,10
SJVN,2025-05-16,104.2,66.19,0.76,95.74,0.3247,10
SKFINDIA,2025-05-16,4574.8,86.58,57.61,4007.25,0.3772,10
SRF,2025-05-16,2914.9,47.03,-15.16,2981.09,0.1918,10
SAGILITY,2025-05-16,46.78,63.08,0.69,42.58,0.4204,10
SAILIFE,2025-05-16,750.65,58.48,5.27,716.93,0.349,10
SAMMAANCAP,2025-05-16,125.2,58.73,0.52,121.54,0.2302,10
MOTHERSON,2025-05-16,147.04,63.87,0.71,137.66,0.2805,10
SAPPHIRE,2025-05-16,331.0,62.3,0.08,315.94,0.0195,10
SARDAEN,2025-05-16,454.75,47.28,1.79,459.38,0.2959,10
SAREGAMA,2025-05-16,540.15,51.71,-1.05,545.74,0.2209,10
SCHAEFFLER,2025-05-16,4085.3,80.77,57.32,3548.96,0.3498,10
SCHNEIDER,2025-05-16,653.05,62.32,9.02,600.84,0.1065,10
SCI,2025-05-16,188.77,63.71,0.53,174.9,0.357,10
SHREECEM,2025-05-16,31615.0,67.39,140.05,30258.5,0.0566,10
RENUKA,2025-05-16,31.85,65.53,0.36,29.35,0.1419,10
SHRIRAMFIN,2025-05-16,665.5,55.23,3.36,649.2,0.3279,10
SHYAMMETL,2025-05-16,937.75,66.31,3.86,892.16,0.3072,9
SIEMENS,2025-05-16,3069.5,40.96,94.27,2910.86,0.353,10
SIGNATURE,2025-05-16,1236.1,68.04,6.27,1156.97,0.1509,10
SOBHA,2025-05-16,1372.5,63.36,6.41,1287.2,0.0408,10
SOLARINDS,2025-05-16,14025.0,73.76,-16.73,13211.75,0.3852,10
SONACOMS,2025-05-16,542.85,65.85,5.92,492.92,0.0768,10
SONATSOFTW,2025-05-16,397.8,56.2,1.54,375.91,-0.0528,10
STARHEALTH,2025-05-16,450.9,76.63,6.2,389.7,0.164,10
SBIN,2025-05-16,792.1,58.86,-0.09,783.55,0.2691,10
SAIL,2025-05-16,122.48,61.63,0.94,115.74,0.2082,10
SWSOLAR,2025-05-16,297.95,59.48,1.17,285.78,0.1263,10
SUMICHEM,2025-05-16,538.45,55.85,1.26,523.83,0.2236,10
SUNPHARMA,2025-05-16,1734.9,47.78,-10.97,1772.32,0.2757,10
SUNTV,2025-05-16,629.2,51.25,-0.42,630.35,0.1064,10
SUNDARMFIN,2025-05-16,5094.5,52.35,-28.82,5175.34,0.0825,8
SUNDRMFAST,2025-05-16,981.5,65.15,6.62,936.32,0.0478,4
SUPREMEIND,2025-05-16,3681.9,63.01,18.51,3528.6,0.4914,10
SUVENPHAR,2025-05-16,1079.2,43.57,-6.48,1128.02,0.0738,5
SUZLON,2025-05-16,61.08,62.41,0.52,57.45,0.5106,10
SWANENERGY,2025-05-16,455.55,60.96,4.97,422.57,0.3849,10
SWIGGY,2025-05-16,321.2,47.22,-0.33,326.06,0.0538,10
SYNGENE,2025-05-16,645.4,46.29,2.52,649.96,0.1564,10
SYRMA,2025-05-16,529.65,59.25,4.53,500.16,0.2015,10
TBOTEK,2025-05-16,1237.6,61.41,22.94,1115.84,0.0589,10
TVSMOTOR,2025-05-16,2841.5,63.41,-4.77,2744.95,0.3899,10
TANLA,2025-05-16,571.55,70.03,10.11,497.13,0.2637,10
TATACHEM,2025-05-16,859.5,56.53,2.18,840.97,-0.0422,10
TATACOMM,2025-05-16,1632.3,60.77,5.2,1574.8,0.1687,10
TCS,2025-05-16,3561.3,58.21,22.16,3453.6,-0.0115,10
TATACONSUM,2025-05-16,1168.0,63.71,-5.06,1144.09,0.2129,10
TATAELXSI,2025-05-16,6212.0,67.49,51.59,5763.0,0.2094,10
TATAINVEST,2025-05-16,6209.0,57.12,23.18,6082.9,0.177,10
TATAMOTORS,2025-05-16,730.7,65.78,7.69,673.03,0.1484,10
TATAPOWER,2025-05-16,405.8,63.82,1.38,387.86,0.1391,10
TATASTEEL,2025-05-16,157.55,67.67,1.99,144.57,0.189,10
TATATECH,2025-05-16,750.9,67.48,8.31,686.11,0.1321,10
TTML,2025-05-16,60.62,57.75,0.46,58.18,0.2326,10
TECHM,2025-05-16,1617.0,73.97,17.9,1491.74,0.1199,10
TECHNOE,2025-05-16,1280.1,74.77,16.0,1114.01,0.1483,10
TEJASNET,2025-05-16,740.6,48.48,-1.43,756.73,0.0279,10
NIACL,2025-05-16,179.03,64.75,0.44,170.8,0.3389,10
RAMCOCEM,2025-05-16,1004.15,70.09,2.31,966.64,0.1714,10
THERMAX,2025-05-16,3426.6,55.39,16.19,3353.25,0.1602,10
TIMKEN,2025-05-16,3096.0,76.09,46.68,2700.48,0.0774,10
TITAGARH,2025-05-16,912.85,73.46,15.61,766.59,0.296,10
TITAN,2025-05-16,3633.7,78.49,22.6,3419.97,0.3274,10
TORNTPHARM,2025-05-16,3266.8,53.06,-5.53,3264.42,-0.0479,10
TORNTPOWER,2025-05-16,1442.8,45.5,-12.89,1505.68,0.0515,10
TARIL,2025-05-16,504.25,51.11,-2.39,510.97,0.4665,10
TRENT,2025-05-16,5583.0,59.97,34.47,5299.78,0.2906,10
