symbol,date,close,rsi,macd,sma20
TIMKEN,2025-05-16,3096.0,76.09,46.68,2700.48
TITAGARH,2025-05-16,912.85,73.46,15.61,766.59
TITAN,2025-05-16,3633.7,78.49,22.6,3419.97
TORNTPHARM,2025-05-16,3266.8,53.06,-5.53,3264.42
TORNTPOWER,2025-05-16,1442.8,45.5,-12.89,1505.68
TARIL,2025-05-16,504.25,51.11,-2.39,510.97
TRENT,2025-05-16,5583.0,59.97,34.47,5299.78
TRIDENT,2025-05-16,29.38,62.51,0.13,27.96
TRIVENI,2025-05-16,430.1,60.53,0.53,416.41
TRITURBINE,2025-05-16,605.15,66.05,11.21,532.63
TIINDIA,2025-05-16,3044.6,62.17,19.24,2821.71
UCOBANK,2025-05-16,30.98,48.62,0.26,30.67
UNOMINDA,2025-05-16,989.5,66.27,10.5,918.87
UPL,2025-05-16,644.2,44.96,-5.26,667.7
UTIAMC,2025-05-16,1120.2,62.29,6.6,1056.37
ULTRACEMCO,2025-05-16,11905.0,58.02,-14.99,11813.0
UNIONBANK,2025-05-16,133.02,59.89,0.86,126.75
UBL,2025-05-16,2050.6,43.89,-19.84,2146.12
UNITDSPR,2025-05-16,1540.3,55.5,-9.0,1551.37
USHAMART,2025-05-16,311.6,53.27,1.96,304.07
VGUARD,2025-05-16,375.0,61.97,0.44,365.6
DBREALTY,2025-05-16,191.05,65.47,0.19,179.24
VTL,2025-05-16,499.8,64.87,0.04,477.3
VBL,2025-05-16,501.65,42.49,-2.66,522.39
MANYAVAR,2025-05-16,751.6,45.28,-1.41,766.76
VEDL,2025-05-16,441.2,60.34,4.32,420.19
VIJAYA,2025-05-16,909.8,37.01,-14.31,1013.14
VMM,2025-05-16,126.27,65.28,0.82,117.97
IDEA,2025-05-16,7.37,52.76,0.03,7.28
VOLTAS,2025-05-16,1261.4,47.43,6.07,1258.54
WAAREEENER,2025-05-16,2921.1,67.83,15.7,2677.68
WELCORP,2025-05-16,781.9,51.83,3.82,768.19
WELSPUNLIV,2025-05-16,149.07,64.37,1.79,134.76
WESTLIFE,2025-05-16,694.5,48.4,0.51,700.9
WHIRLPOOL,2025-05-16,1296.4,68.04,0.48,1211.22
WIPRO,2025-05-16,254.31,54.32,2.83,244.34
WOCKPHARMA,2025-05-16,1330.4,51.78,0.83,1325.55
YESBANK,2025-05-16,21.55,80.64,0.35,18.96
ZFCVINDIA,2025-05-16,13221.0,59.3,65.88,12772.6
ZEEL,2025-05-16,129.67,73.01,1.85,114.29
ZENTEC,2025-05-16,1794.8,77.0,36.22,1472.96
ZENSARTECH,2025-05-16,798.75,66.92,11.4,723.61
ZYDUSLIFE,2025-05-16,902.7,56.75,3.88,879.58
ECLERX,2025-05-16,3301.8,79.04,89.16,2619.61
